DATE,DOY,week,is.collected,TREAT,REP,STATION,ABIPN,BURSI,C7,CMAC,CSTIG,CTRIF,CYCSP,H13,HAXY,HCONV,HGLAC,HPARN,HVAR,PQUA,CANTHARID,LAMPY,LCW,MECOP,20SPOT
6/24/2020,176,26,no,5,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6/24/2020,176,26,no,5,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
6/24/2020,176,26,no,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6/24/2020,176,26,no,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6/24/2020,176,26,no,5,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6/24/2020,176,26,no,5,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
6/24/2020,176,26,no,5,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,4,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
6/24/2020,176,26,no,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6/24/2020,176,26,no,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,5,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6/24/2020,176,26,no,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6/24/2020,176,26,no,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
6/24/2020,176,26,no,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6/24/2020,176,26,no,6,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6/24/2020,176,26,no,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6/24/2020,176,26,no,6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6/24/2020,176,26,no,6,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6/24/2020,176,26,no,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6/24/2020,176,26,no,6,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6/24/2020,176,26,no,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,6,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
6/24/2020,176,26,no,7,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6/24/2020,176,26,no,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6/24/2020,176,26,no,7,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
6/24/2020,176,26,no,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6/24/2020,176,26,no,7,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6/24/2020,176,26,no,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
6/24/2020,176,26,no,7,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6/24/2020,176,26,no,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6/24/2020,176,26,no,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6/24/2020,176,26,no,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6/24/2020,176,26,no,7,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6/24/2020,176,26,no,7,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2020,176,26,no,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
7/1/2020,183,27,yes,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2020,183,27,yes,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/1/2020,183,27,yes,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,5,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,1,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,1,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2020,183,27,yes,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2020,183,27,yes,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7/1/2020,183,27,yes,2,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/1/2020,183,27,yes,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,5,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7/1/2020,183,27,yes,2,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/1/2020,183,27,yes,2,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,2,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/1/2020,183,27,yes,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7/1/2020,183,27,yes,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7/1/2020,183,27,yes,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
7/1/2020,183,27,yes,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
7/1/2020,183,27,yes,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
7/1/2020,183,27,yes,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/1/2020,183,27,yes,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
7/1/2020,183,27,yes,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,4,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,2,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,4,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2020,183,27,yes,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2020,183,27,yes,5,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7/1/2020,183,27,yes,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7/1/2020,183,27,yes,5,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7/1/2020,183,27,yes,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/1/2020,183,27,yes,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,5,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
7/1/2020,183,27,yes,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,5,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/1/2020,183,27,yes,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7/1/2020,183,27,yes,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
7/1/2020,183,27,yes,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7/1/2020,183,27,yes,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2020,183,27,yes,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
